NORAD_CAT_ID,OBJECT_NAME,OBJECT_ID,EPOCH,CREATION_DATE,INCLINATION,RA_OF_ASC_NODE,ECCENTRICITY,ARG_OF_PERICENTER,MEAN_ANOMALY,MEAN_MOTION,SEMIMAJOR_AXIS,PERIOD,BSTAR,DECAY_DATE,TLE_LINE1,TLE_LINE2,ELEMENT_SET_NO
56338,STARLINK-5554,2023-058X,2026-07-25T16:55:00.448320,2026-07-26T04:22:28,97.2841,203.6814,0.00020994,89.7697,270.3771,15.05652481,6927.641,95.640,-0.00002727806900,,1 56338U 23058X   26206.70486630 -.00000450  00000-0 -27278-4 0  9994,2 56338  97.2841 203.6814 0002099  89.7697 270.3771 15.05652481178895,999
56339,STARLINK-5552,2023-058Y,2026-07-26T00:37:33.772512,2026-07-26T10:36:54,97.2842,204.0116,0.00020389,86.2392,273.9069,15.05655608,6927.631,95.639,0.00001323754800,,1 56339U 23058Y   26207.02608533  .00000135  00000-0  13238-4 0  9998,2 56339  97.2842 204.0116 0002039  86.2392 273.9069 15.05655608178944,999
56340,STARLINK-5540,2023-058Z,2026-07-26T06:00:02.999808,2026-07-26T10:36:54,97.2833,205.2659,0.00016003,101.7359,343.4499,15.10529382,6912.721,95.331,0.00064020908000,,1 56340U 23058Z   26207.25003472  .00010502  00000-0  64021-3 0  9990,2 56340  97.2833 205.2659 0001600 101.7359 343.4499 15.10529382  5786,999
56341,STARLINK-5543,2023-058AA,2026-07-25T22:10:01.243200,2026-07-26T04:22:28,97.2845,203.8427,0.00023607,89.2432,270.9066,15.05653220,6927.638,95.640,-0.00000858951200,,1 56341U 23058AA  26206.92362550 -.00000180  00000-0 -85895-5 0  9996,2 56341  97.2845 203.8427 0002361  89.2432 270.9066 15.05653220178917,999
56342,STARLINK-5955,2023-058AB,2026-07-25T22:55:46.813152,2026-07-26T04:22:28,97.2837,205.0231,0.00018095,91.1800,268.9635,15.05688055,6927.531,95.637,0.00025816914000,,1 56342U 23058AB  26206.95540293  .00003674  00000-0  25817-3 0  9997,2 56342  97.2837 205.0231 0001809  91.1800 268.9635 15.05688055179007,999
56343,STARLINK-5976,2023-058AC,2026-07-26T05:58:29.896032,2026-07-26T10:36:54,97.2841,205.2341,0.00022053,89.2552,270.8928,15.05653746,6927.637,95.640,0.00000865087900,,1 56343U 23058AC  26207.24895713  .00000069  00000-0  86509-5 0  9993,2 56343  97.2841 205.2341 0002205  89.2552 270.8928 15.05653746179040,999
56344,STARLINK-5974,2023-058AD,2026-07-25T22:39:53.085024,2026-07-26T10:36:54,97.2823,205.0315,0.00013658,77.9879,282.1502,15.05654915,6927.633,95.639,-0.00002924532700,,1 56344U 23058AD  26206.94436441 -.00000478  00000-0 -29245-4 0  9998,2 56344  97.2823 205.0315 0001366  77.9879 282.1502 15.05654915179002,999
56345,STARLINK-5979,2023-058AE,2026-07-26T00:09:39.683520,2026-07-26T10:36:54,97.2848,203.8862,0.00018221,88.7974,271.3462,15.05649986,6927.648,95.640,0.00000563840900,,1 56345U 23058AE  26207.00670930  .00000025  00000-0  56384-5 0  9991,2 56345  97.2848 203.8862 0001822  88.7974 271.3462 15.05649986178934,999
56346,STARLINK-5837,2023-058AF,2026-07-26T05:28:39.187776,2026-07-26T10:36:54,97.2837,204.1970,0.00018738,90.6422,269.5020,15.05653117,6927.639,95.640,-0.00001175836900,,1 56346U 23058AF  26207.22823134 -.00000226  00000-0 -11758-4 0  9992,2 56346  97.2837 204.1970 0001874  90.6422 269.5020 15.05653117178978,999
56347,STARLINK-5829,2023-058AG,2026-07-26T06:00:02.999808,2026-07-26T10:36:54,97.2844,205.3029,0.00014483,81.8557,87.7186,15.10521092,6912.747,95.331,0.00064791427000,,1 56347U 23058AG  26207.25003472  .00010627  00000-0  64791-3 0  9999,2 56347  97.2844 205.3029 0001448  81.8557  87.7186 15.10521092  5865,999
56348,STARLINK-5888,2023-058AH,2026-07-25T22:53:51.351648,2026-07-26T04:22:28,97.2843,203.8050,0.00018443,91.7591,268.3848,15.05663223,6927.608,95.639,0.00005319315700,,1 56348U 23058AH  26206.95406657  .00000712  00000-0  53193-4 0  9997,2 56348  97.2843 203.8050 0001844  91.7591 268.3848 15.05663223178927,999
56349,STARLINK-5887,2023-058AJ,2026-07-25T05:41:07.545696,2026-07-25T18:12:52,97.2840,203.2480,0.00021282,95.2861,264.8609,15.05657370,6927.626,95.639,-0.00004063313400,,1 56349U 23058AJ  26206.23689289 -.00000643  00000-0 -40633-4 0  9993,2 56349  97.2840 203.2480 0002128  95.2861 264.8609 15.05657370178822,999
56350,STARLINK-5886,2023-058AK,2026-07-26T06:00:02.999808,2026-07-26T10:36:54,97.2833,205.3012,0.00017760,68.7206,110.4900,15.08665785,6918.413,95.449,0.00174857080000,,1 56350U 23058AK  26207.25003472  .00027417  00000-0  17486-2 0  9996,2 56350  97.2833 205.3012 0001776  68.7206 110.4900 15.08665785  5861,999
