NORAD_CAT_ID,OBJECT_NAME,OBJECT_ID,EPOCH,CREATION_DATE,INCLINATION,RA_OF_ASC_NODE,ECCENTRICITY,ARG_OF_PERICENTER,MEAN_ANOMALY,MEAN_MOTION,SEMIMAJOR_AXIS,PERIOD,BSTAR,DECAY_DATE,TLE_LINE1,TLE_LINE2,ELEMENT_SET_NO,MEAN_ALTITUDE_KM
54004,STARLINK-5129,2022-125AS,2026-07-26T07:23:08.375712,2026-07-26T10:36:54,53.1584,311.1959,0.00018677,105.4442,254.6756,15.08833399,6917.901,95.438,4.269735e-05,,1 54004U 22125AS  26207.30773583  .00000391  00000-0  42697-4 0  9993,2 54004  53.1584 311.1959 0001868 105.4442 254.6756 15.08833399210392,999,539.7640000000001
53632,STARLINK-4606,2022-104AW,2026-07-26T07:37:46.241184,2026-07-26T10:36:54,53.1584,321.4536,0.00016145,90.5915,269.5261,15.08835812,6917.893,95.438,0.00022545149,,1 53632U 22104AW  26207.31789631  .00003301  00000-0  22545-3 0  9991,2 53632  53.1584 321.4536 0001615  90.5915 269.5261 15.08835812217151,999,539.7560000000003
53633,STARLINK-4593,2022-104AX,2026-07-26T07:43:04.249344,2026-07-26T10:36:54,53.1584,321.4744,0.00017383,106.2381,253.8802,15.0883769,6917.887,95.438,6.37931e-05,,1 53633U 22104AX  26207.32157696  .00000727  00000-0  63793-4 0  9993,2 53633  53.1584 321.4744 0001738 106.2381 253.8802 15.08837690216827,999,539.75
53411,STARLINK-4497,2022-097Z,2026-07-26T03:48:34.564032,2026-07-26T10:36:54,53.1585,212.1784,0.00011301,56.2944,303.8155,15.08837177,6917.889,95.438,3.3016665e-05,,1 53411U 22097Z   26207.15873338  .00000238  00000-0  33017-4 0  9990,2 53411  53.1585 212.1784 0001130  56.2944 303.8155 15.08837177219557,999,539.7520000000004
53401,STARLINK-4525,2022-097P,2026-07-26T04:34:56.830656,2026-07-26T10:36:54,53.1585,222.032,0.00010995,79.2467,280.8648,15.08832137,6917.904,95.438,4.0133189e-05,,1 53401U 22097P   26207.19093554  .00000351  00000-0  40133-4 0  9990,2 53401  53.1585 222.0320 0001100  79.2467 280.8648 15.08832137219422,999,539.7670000000007
53848,STARLINK-4780,2022-114AG,2026-07-25T22:06:44.892288,2026-07-26T04:22:28,53.1586,32.9836,0.00016422,88.0385,272.0795,15.08823335,6917.931,95.439,-5.7437026e-05,,1 53848U 22114AG  26206.92135292 -.00001202  00000-0 -57437-4 0  9994,2 53848  53.1586  32.9836 0001642  88.0385 272.0795 15.08823335213842,999,539.7939999999999
53918,STARLINK-5012,2022-119AJ,2026-07-25T23:34:12.398016,2026-07-26T10:36:54,53.1586,52.8793,0.00015618,95.9203,264.1967,15.08830887,6917.908,95.438,-3.9259399e-05,,1 53918U 22119AJ  26206.98208794 -.00000913  00000-0 -39259-4 0  9991,2 53918  53.1586  52.8793 0001562  95.9203 264.1967 15.08830887212707,999,539.7710000000006
54077,STARLINK-5171,2022-136AC,2026-07-26T00:57:11.306016,2026-07-26T10:36:54,53.1586,58.3522,0.00015159,82.5658,277.5506,15.08829916,6917.911,95.438,1.5226718e-05,,1 54077U 22136AC  26207.03971419 -.00000046  00000-0  15227-4 0  9990,2 54077  53.1586  58.3522 0001516  82.5658 277.5506 15.08829916208073,999,539.7740000000003
53412,STARLINK-4496,2022-097AA,2026-07-26T06:32:51.815616,2026-07-26T10:36:54,53.1586,211.6674,7.651e-05,59.7518,300.3549,15.08832638,6917.903,95.438,6.8446337e-05,,1 53412U 22097AA  26207.27282194  .00000802  00000-0  68446-4 0  9999,2 53412  53.1586 211.6674 0000765  59.7518 300.3549 15.08832638219577,999,539.7660000000005
52565,STARLINK-3911,2022-051AJ,2026-07-26T06:50:44.204640,2026-07-26T10:36:54,53.1586,216.6125,0.0001064,70.6247,289.4859,15.08837875,6917.887,95.438,9.0115902e-05,,1 52565U 22051AJ  26207.28523385  .00001147  00000-0  90116-4 0  9990,2 52565  53.1586 216.6125 0001064  70.6247 289.4859 15.08837875232502,999,539.75
53388,STARLINK-4522,2022-097A,2026-07-26T07:08:38.723424,2026-07-26T10:36:54,53.1586,221.5526,5.907e-05,81.231,278.8748,15.08825339,6917.925,95.438,-7.612569e-06,,1 53388U 22097A   26207.29767041 -.00000409  00000-0 -76126-5 0  9992,2 53388  53.1586 221.5526 0000591  81.2310 278.8748 15.08825339219774,999,539.7880000000005
53400,STARLINK-4520,2022-097N,2026-07-26T01:02:58.863840,2026-07-26T10:36:54,53.1586,222.6988,0.0001036,81.8798,278.2311,15.08835382,6917.895,95.438,3.3945961e-05,,1 53400U 22097N   26207.04373685  .00000252  00000-0  33946-4 0  9993,2 53400  53.1586 222.6988 0001036  81.8798 278.2311 15.08835382219403,999,539.7580000000007
52688,STARLINK-4032,2022-053AJ,2026-07-25T12:01:19.720416,2026-07-25T18:12:52,53.1586,245.0223,8.675e-05,70.6244,289.4842,15.08833337,6917.901,95.438,2.7404371e-05,,1 52688U 22053AJ  26206.50092269  .00000148  00000-0  27404-4 0  9994,2 52688  53.1586 245.0223 0000867  70.6244 289.4842 15.08833337231926,999,539.7640000000001
52665,STARLINK-4064,2022-053K,2026-07-25T20:07:33.219552,2026-07-26T04:22:28,53.1586,253.6231,8.206e-05,72.3703,287.7378,15.08830137,6917.911,95.438,5.7803958e-05,,1 52665U 22053K   26206.83857893  .00000632  00000-0  57804-4 0  9992,2 52665  53.1586 253.6231 0000821  72.3703 287.7378 15.08830137231902,999,539.7740000000003
51461,STARLINK-3181,2022-010F,2026-07-26T08:00:01.999872,2026-07-26T10:36:54,53.1587,16.1753,7.844e-05,105.2033,310.0287,15.16676999,6894.029,94.944,0.0045536431,,1 51461U 22010F   26207.33335648  .00091064  00000-0  45536-2 0  9999,2 51461  53.1587  16.1753 0000784 105.2033 310.0287 15.16676999  5807,999,515.8920000000007
51120,STARLINK-3398,2022-005S,2026-07-26T08:00:01.999872,2026-07-26T10:36:54,53.1587,26.3823,0.00021855,92.0723,121.5774,15.12396104,6907.032,95.213,0.0043375993,,1 51120U 22005S   26207.33335648  .00076689  00000-0  43376-2 0  9991,2 51120  53.1587  26.3823 0002185  92.0723 121.5774 15.12396104  5759,999,528.8950000000004
53934,STARLINK-4775,2022-119BA,2026-07-26T06:11:00.771648,2026-07-26T10:36:54,53.1587,36.787,0.0001412,94.1517,265.9636,15.0883122,6917.907,95.438,2.313795e-06,,1 53934U 22119BA  26207.25764782 -.00000251  00000-0  23138-5 0  9998,2 53934  53.1587  36.7870 0001412  94.1517 265.9636 15.08831220212979,999,539.7700000000004
52278,STARLINK-3780,2022-041T,2026-07-26T04:13:05.624256,2026-07-26T10:36:54,53.1587,207.1035,0.00010976,75.1883,284.923,15.08834533,6917.897,95.438,-1.6321871e-05,,1 52278U 22041T   26207.17575954 -.00000548  00000-0 -16322-4 0  9990,2 52278  53.1587 207.1035 0001098  75.1883 284.9230 15.08834533235270,999,539.7600000000002
53393,STARLINK-4530,2022-097F,2026-07-26T02:01:16.256352,2026-07-26T10:36:54,53.1587,222.5145,0.00012125,82.7094,277.4035,15.08834318,6917.898,95.438,7.6162104e-05,,1 53393U 22097F   26207.08421593  .00000924  00000-0  76162-4 0  9993,2 53393  53.1587 222.5145 0001213  82.7094 277.4035 15.08834318219564,999,539.7610000000004
52681,STARLINK-4068,2022-053AB,2026-07-26T02:51:38.225088,2026-07-26T10:36:54,53.1587,242.3596,0.00011085,67.1888,292.922,15.08826561,6917.921,95.438,7.7260363e-05,,1 52681U 22053AB  26207.11919242  .00000942  00000-0  77260-4 0  9991,2 52681  53.1587 242.3596 0001108  67.1888 292.9220 15.08826561232030,999,539.7840000000006
52685,STARLINK-4029,2022-053AF,2026-07-25T20:08:52.354176,2026-07-26T04:22:28,53.1587,243.6163,0.00010734,85.3577,274.7537,15.0883406,6917.899,95.438,3.4101426e-05,,1 52685U 22053AF  26206.83949484  .00000255  00000-0  34101-4 0  9998,2 52685  53.1587 243.6163 0001073  85.3577 274.7537 15.08834060231970,999,539.7620000000006
49737,STARLINK-3225,2021-115P,2026-07-26T02:43:00.112800,2026-07-26T10:36:54,53.1587,247.3872,0.00011332,83.5212,276.5908,15.08836387,6917.891,95.438,7.8399807e-05,,1 49737U 21115P   26207.11319575  .00000960  00000-0  78400-4 0  9997,2 49737  53.1587 247.3872 0001133  83.5212 276.5908 15.08836387256439,999,539.7539999999999
52662,STARLINK-4044,2022-053G,2026-07-26T02:50:18.009600,2026-07-26T10:36:54,53.1587,252.3635,0.00010932,82.9845,277.1271,15.08831838,6917.905,95.438,9.4339673e-05,,1 52662U 22053G   26207.11826400  .00001214  00000-0  94340-4 0  9994,2 52662  53.1587 252.3635 0001093  82.9845 277.1271 15.08831838231948,999,539.768
52663,STARLINK-4037,2022-053H,2026-07-25T20:23:26.868192,2026-07-26T04:22:28,53.1587,253.576,0.00010673,81.1825,278.9288,15.08835137,6917.895,95.438,7.6667285e-05,,1 52663U 22053H   26206.84961653  .00000932  00000-0  76667-4 0  9992,2 52663  53.1587 253.5760 0001067  81.1825 278.9288 15.08835137231900,999,539.7580000000007
52670,STARLINK-4075,2022-053Q,2026-07-25T12:21:14.001696,2026-07-25T18:12:52,53.1587,255.1459,0.00011422,82.5748,277.5373,15.08832514,6917.903,95.438,8.1156061e-05,,1 52670U 22053Q   26206.51474539  .00001004  00000-0  81156-4 0  9996,2 52670  53.1587 255.1459 0001142  82.5748 277.5373 15.08832514231854,999,539.7660000000005
53165,STARLINK-4090,2022-083AK,2026-07-26T03:04:51.714912,2026-07-26T10:36:54,53.1587,262.3139,0.00011576,86.5159,273.5964,15.08834083,6917.898,95.438,0.00010003626,,1 53165U 22083AK  26207.12837633  .00001304  00000-0  10004-3 0  9991,2 53165  53.1587 262.3139 0001158  86.5159 273.5964 15.08834083222266,999,539.7610000000004
51860,STARLINK-3559,2022-022J,2026-07-26T06:00:02.999808,2026-07-26T10:36:54,53.1588,106.0793,0.00015521,59.3535,13.4054,15.21488287,6879.488,94.644,0.0037870338,,1 51860U 22022J   26207.25003472  .00086967  00000-0  37870-2 0  9991,2 51860  53.1588 106.0793 0001552  59.3535  13.4054 15.21488287  5807,999,501.35100000000057
53433,STARLINK-4549,2022-097AX,2026-07-26T05:41:25.796832,2026-07-26T10:36:54,53.1588,200.1645,0.00012048,83.4444,276.6687,15.15411155,6897.868,95.024,3.3044978e-05,,1 53433U 22097AX  26207.23710413  .00000324  00000-0  33045-4 0  9994,2 53433  53.1588 200.1645 0001205  83.4444 276.6687 15.15411155219703,999,519.7310000000007
52281,STARLINK-3779,2022-041W,2026-07-26T04:19:46.275744,2026-07-26T10:36:54,53.1588,207.0815,0.00010495,76.8214,283.2895,15.08831242,6917.907,95.438,5.0685131e-05,,1 52281U 22041W   26207.18039671  .00000519  00000-0  50685-4 0  9992,2 52281  53.1588 207.0815 0001049  76.8214 283.2895 15.08831242235275,999,539.7700000000004
52583,STARLINK-3895,2022-051AZ,2026-07-26T04:17:03.729696,2026-07-26T10:36:54,53.1588,217.09,9.543e-05,66.6456,293.4636,15.08834126,6917.898,95.438,2.6654527e-05,,1 52583U 22051AZ  26207.17851539  .00000136  00000-0  26655-4 0  9997,2 52583  53.1588 217.0900 0000954  66.6456 293.4636 15.08834126232496,999,539.7610000000004
53397,STARLINK-4515,2022-097K,2026-07-26T04:56:08.720736,2026-07-26T10:36:54,53.1588,221.968,0.0001047,76.4884,283.6224,15.08832675,6917.903,95.438,5.2430499e-05,,1 53397U 22097K   26207.20565649  .00000547  00000-0  52430-4 0  9995,2 53397  53.1588 221.9680 0001047  76.4884 283.6224 15.08832675219426,999,539.7660000000005
53399,STARLINK-4528,2022-097M,2026-07-26T04:45:32.670720,2026-07-26T10:36:54,53.1588,221.9998,0.00010129,77.2751,282.8354,15.08835146,6917.895,95.438,6.1043491e-05,,1 53399U 22097M   26207.19829480  .00000684  00000-0  61043-4 0  9993,2 53399  53.1588 221.9998 0001013  77.2751 282.8354 15.08835146219426,999,539.7580000000007
53390,STARLINK-4517,2022-097C,2026-07-25T10:23:19.135104,2026-07-25T18:12:52,53.1588,225.4442,0.00010999,77.3052,282.8063,15.08829497,6917.912,95.438,3.3436338e-05,,1 53390U 22097C   26206.43286036  .00000244  00000-0  33436-4 0  9991,2 53390  53.1588 225.4442 0001100  77.3052 282.8063 15.08829497219612,999,539.7750000000005
52687,STARLINK-3981,2022-053AH,2026-07-26T02:25:07.044672,2026-07-26T10:36:54,53.1588,242.4426,0.00010302,58.9363,301.1729,15.08837107,6917.889,95.438,4.9946425e-05,,1 52687U 22053AH  26207.10077598  .00000507  00000-0  49946-4 0  9992,2 52687  53.1588 242.4426 0001030  58.9363 301.1729 15.08837107232013,999,539.7520000000004
52678,STARLINK-4074,2022-053Y,2026-07-26T02:03:56.742624,2026-07-26T10:36:54,53.1588,242.6166,0.00010946,86.2039,273.9078,15.08832169,6917.904,95.438,6.5085982e-05,,1 52678U 22053Y   26207.08607341  .00000748  00000-0  65086-4 0  9994,2 52678  53.1588 242.6166 0001095  86.2039 273.9078 15.08832169232062,999,539.7670000000007
52698,STARLINK-4030,2022-053AU,2026-07-26T02:27:06.131520,2026-07-26T10:36:54,53.1588,247.4279,0.00010182,95.5104,264.6004,15.08821827,6917.936,95.439,3.4005121e-05,,1 52698U 22053AU  26207.10215430  .00000253  00000-0  34005-4 0  9991,2 52698  53.1588 247.4279 0001018  95.5104 264.6004 15.08821827231977,999,539.799
49751,STARLINK-3229,2021-115AD,2026-07-26T02:00:36.012960,2026-07-26T10:36:54,53.1588,247.444,9.554e-05,70.0556,290.0538,15.08831167,6917.907,95.438,4.0550632e-05,,1 49751U 21115AD  26207.08375015  .00000357  00000-0  40551-4 0  9996,2 49751  53.1588 247.4440 0000955  70.0556 290.0538 15.08831167256432,999,539.7700000000004
