case_id,epoch_s,timestamp_utc,frame,x_truth_m,y_truth_m,z_truth_m,vx_truth_mps,vy_truth_mps,vz_truth_mps,x_phys_m,y_phys_m,z_phys_m,vx_phys_mps,vy_phys_mps,vz_phys_mps,dx_m,dy_m,dz_m,position_error_m,dvx_mps,dvy_mps,dvz_mps,velocity_error_mps,aR_true_mps2,aT_true_mps2,aN_true_mps2,thrust_true_N,spacecraft_mass_kg,is_maneuver
QK1_STK_case_0001,0.000000,2023-11-25T11:08:00Z,J2000,-2573837.655708001,-3401903.650748001,5290367.494348000,-4676.349311110002,-3817.653324540001,-4710.658227970000,-2573837.655708001,-3401903.650748001,5290367.494348000,-4676.349311110002,-3817.653324540001,-4710.658227970000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,200.000000000000,0
QK1_STK_case_0001,60.000000,2023-11-25T11:09:00Z,J2000,-2848341.191244178,-3623037.629005752,4995854.810882501,-4470.289584673074,-3550.675836126135,-5102.695150884443,-2848341.191244178,-3623037.629005752,4995854.810882501,-4470.289584673074,-3550.675836126135,-5102.695150884443,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,200.000000000000,0
QK1_STK_case_0001,120.000000,2023-11-25T11:10:00Z,J2000,-3109864.587591694,-3827660.707482907,4678510.056881596,-4243.842101666800,-3267.498705220019,-5471.436509292974,-3109864.587591694,-3827660.707482907,4678510.056881596,-4243.842101666800,-3267.498705220019,-5471.436509292974,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,200.000000000000,0
QK1_STK_case_0001,180.000000,2023-11-25T11:11:00Z,J2000,-3357215.051425457,-4014839.221056110,4339782.232647572,-3998.038029386650,-2969.411308936277,-5815.191486864710,-3357215.051425457,-4014839.221056110,4339782.232647572,-3998.038029386650,-2969.411308936277,-5815.191486864710,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,200.000000000000,0
QK1_STK_case_0001,240.000000,2023-11-25T11:12:00Z,J2000,-3589264.388670688,-4183719.020219467,3981218.449904577,-3733.998673915573,-2657.773859655244,-6132.381912151486,-3589264.388670688,-4183719.020219467,3981218.449904577,-3733.998673915573,-2657.773859655244,-6132.381912151486,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,200.000000000000,0
QK1_STK_case_0001,300.000000,2023-11-25T11:13:00Z,J2000,-3804954.263712327,-4333529.544593032,3604456.929224263,-3452.930555230193,-2334.011368117705,-6421.550314285898,-3804954.263712327,-4333529.544593032,3604456.929224263,-3452.930555230193,-2334.011368117705,-6421.550314285898,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,200.000000000000,0
QK1_STK_case_0001,360.000000,2023-11-25T11:14:00Z,J2000,-4003301.162982563,-4463587.509756753,3211219.523842817,-3156.120300251742,-1999.606828612586,-6681.367660875042,-4003301.162982563,-4463587.509756753,3211219.523842817,-3156.120300251742,-1999.606828612586,-6681.367660875042,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,200.000000000000,0
QK1_STK_case_0001,420.000000,2023-11-25T11:15:00Z,J2000,-4183401.029384367,-4573300.164146557,2803303.793468716,-2844.928774144340,-1656.093713997486,-6910.640557751899,-4183401.029384367,-4573300.164146557,2803303.793468716,-2844.928774144340,-1656.093713997486,-6910.640557751899,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,200.000000000000,0
QK1_STK_case_0001,480.000000,2023-11-25T11:16:00Z,J2000,-4344433.516372230,-4662168.083319237,2382574.678201383,-2520.784283674211,-1305.048168204797,-7108.317259237346,-4344433.516372230,-4662168.083319237,2382574.678201383,-2520.784283674211,-1305.048168204797,-7108.317259237346,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,200.000000000000,0
QK1_STK_case_0001,540.000000,2023-11-25T11:17:00Z,J2000,-4485665.822452030,-4729787.504664427,1950955.858143300,-2185.175545207315,-948.081592276736,-7273.492171625766,-4485665.822452030,-4729787.504664427,1950955.858143300,-2185.175545207315,-948.081592276736,-7273.492171625766,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,200.000000000000,0
QK1_STK_case_0001,600.000000,2023-11-25T11:18:00Z,J2000,-4606456.118403393,-4775852.236860407,1510420.865956427,-1839.645230233216,-586.833861173645,-7405.409824588167,-4606456.118403393,-4775852.236860407,1510420.865956427,-1839.645230233216,-586.833861173645,-7405.409824588167,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,200.000000000000,0
QK1_STK_case_0001,660.000000,2023-11-25T11:19:00Z,J2000,-4706256.596962552,-4800155.161717561,1062983.942809026,-1485.783593800236,-222.966252470537,-7503.469620390385,-4706256.596962552,-4800155.161717561,1062983.942809026,-1485.783593800236,-222.966252470537,-7503.469620390385,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,200.000000000000,0
QK1_STK_case_0001,720.000000,2023-11-25T11:20:00Z,J2000,-4784616.103411641,-4802589.270253470,610690.596303286,-1125.220667671881,141.847085745311,-7567.230599311287,-4784616.103411641,-4802589.270253470,610690.596303286,-1125.220667671881,141.847085745311,-7567.230599311287,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,200.000000000000,0
QK1_STK_case_0001,780.000000,2023-11-25T11:21:00Z,J2000,-4841182.249617609,-4783148.152873662,155607.928981796,-759.617081667208,505.928535816438,-7596.414097044933,-4841182.249617609,-4783148.152873662,155607.928981796,-759.617081667208,505.928535816438,-7596.414097044933,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,200.000000000000,0
QK1_STK_case_0001,840.000000,2023-11-25T11:22:00Z,J2000,-4875702.975389716,-4741925.938026834,-300185.116018103,-390.655056587398,867.605821089136,-7590.904027583566,-4875702.975389716,-4741925.938026834,-300185.116018103,-390.655056587398,867.605821089136,-7590.904027583566,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,200.000000000000,0
QK1_STK_case_0001,900.000000,2023-11-25T11:23:00Z,J2000,-4888027.599510885,-4679116.733332688,-754607.495038277,-20.030383243475,1225.219852470534,-7550.746392592925,-4888027.599510885,-4679116.733332688,-754607.495038277,-20.030383243475,1225.219852470534,-7550.746392592925,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,200.000000000000,0
QK1_STK_case_0001,960.000000,2023-11-25T11:24:00Z,J2000,-4878107.401075449,-4595013.602824432,-1205585.780711368,350.555400278903,1577.132507854909,-7476.149007802089,-4878107.401075449,-4595013.602824432,-1205585.780711368,350.555400278903,1577.132507854909,-7476.149007802089,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,200.000000000000,0
QK1_STK_case_0001,1020.000000,2023-11-25T11:25:00Z,J2000,-4845995.711810375,-4490007.062030103,-1651063.849276785,719.403560940232,1921.734935214139,-7367.480562812381,-4845995.711810375,-4490007.062030103,-1651063.849276785,719.403560940232,1921.734935214139,-7367.480562812381,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,200.000000000000,0
QK1_STK_case_0001,1080.000000,2023-11-25T11:26:00Z,J2000,-4791847.480884401,-4364583.072709868,-2089012.460888897,1084.827028248041,2257.455752895726,-7225.267887792811,-4791847.480884401,-4364583.072709868,-2089012.460888897,1084.827028248041,2257.455752895726,-7225.267887792811,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,200.000000000000,0
